sample_1	sample_2	ANI	MASH	dDDH	population
SRR2584508	SRR2584522	99.7643	0.0210181	0.9985904664274731	Ara+1
SRR2584508	SRR2086043	99.7544	0.0205456	0.9975633528265108	Ara+1
SRR2584508	SRR2086070	99.6938	0.0314775	0.9969270771776386	Ara+1
SRR2584508	SRR2584524	98.7933	0.178173	0.9981432619955047	Ara+1
SRR2584508	SRR2584534	98.2851	0.295981	0.9939674674135517	Ara+1
SRR2584508	SRR22764941	99.786	0.174408	0.976663475347056	Ara+1
SRR2584519	SRR2584520	99.7828	0.0245258	0.9968745753499116	Ara+1
SRR2584519	SRR2584521	99.7757	0.0249208	0.9971517699715177	Ara+1
SRR2584519	SRR2584522	99.7641	0.0242917	0.9983518747424804	Ara+1
SRR2584519	SRR2086043	99.7693	0.0226378	0.9974352398050782	Ara+1
SRR2584519	SRR2086070	99.8134	0.0389696	0.9965715852989577	Ara+1
SRR2584519	SRR2584524	99.787	0.164662	0.994307577454274	Ara+1
SRR2584519	SRR2584534	98.6901	0.263022	0.9909869083585096	Ara+1
SRR2584519	SRR22764941	99.8385	0.197292	0.9796515679442509	Ara+1
SRR2584520	SRR2584521	99.5989	0.0143027	0.99759954815024	Ara+1
SRR2584520	SRR2584522	99.8021	0.0130638	0.9962190169444055	Ara+1
SRR2584520	SRR2086043	97.3683	0.0127767	0.9972085604147282	Ara+1
SRR2584520	SRR2086070	99.047	0.0275126	0.996566296883254	Ara+1
SRR2584520	SRR2584524	98.9279	0.174408	0.9968677494199536	Ara+1
SRR2584520	SRR2584534	98.6952	1	0.9925208348172947	Ara+1
SRR2584520	SRR22764941	98.0873	0.191731	0.9756427604871448	Ara+1
SRR2584521	SRR2584522	98.8896	0.0129198	0.998705222270177	Ara+1
SRR2584521	SRR2086043	97.7749	0.0132087	0.99877916440586	Ara+1
SRR2584521	SRR2086070	99.2939	0.0271635	0.9971992531341691	Ara+1
SRR2584521	SRR2584524	98.5605	0.167688	0.9980875239059511	Ara+1
SRR2584521	SRR2584534	99.6119	0.263022	0.994060773480663	Ara+1
SRR2584521	SRR22764941	97.5044	0.186761	0.9733619105939988	Ara+1
SRR2584522	SRR2086043	99.7523	0.0130157	0.9987639060568603	Ara+1
SRR2584522	SRR2086070	99.2315	0.0280449	0.9980641592920354	Ara+1
SRR2584522	SRR2584524	98.7345	0.186761	0.9981800533851007	Ara+1
SRR2584522	SRR2584534	98.6941	1	0.9937522702506356	Ara+1
SRR2584522	SRR22764941	98.2627	0.203604	0.9711695645712587	Ara+1
SRR2086043	SRR2086070	99.34	0.0280449	0.9980124552802438	Ara+1
SRR2086043	SRR2584524	97.9828	0.178173	0.9985600354452814	Ara+1
SRR2086043	SRR2584534	99.1944	1	0.9939283545840923	Ara+1
SRR2086043	SRR22764941	97.4354	0.197292	0.9754464285714286	Ara+1
SRR2086070	SRR2584524	98.481	0.178173	0.9976387249114522	Ara+1
SRR2086070	SRR2584534	99.5512	0.263022	0.9961450206516751	Ara+1
SRR2086070	SRR22764941	98.0723	0.178173	0.9762011674898967	Ara+1
SRR2584524	SRR2584534	96.8051	0.0556462	0.9962459592770846	Ara+1
